epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.8232,3.32632,4.43824,4.01557,0.00266,0.41229,0.06351,0.01588,2.86407,4.28179,3.74347,0.000198198,0.000198198,0.000198198
2,86.8257,2.9133,3.85615,3.50756,0.72821,0.15809,0.09143,0.02405,2.77736,5.95177,3.46044,0.000394256,0.000394256,0.000394256
3,128.352,2.65927,3.42611,3.1263,0.5531,0.21796,0.26656,0.09792,2.59928,3.209,3.23181,0.000586354,0.000586354,0.000586354
4,169.705,2.4844,3.13414,2.88891,0.28683,0.31673,0.17207,0.05266,2.29916,3.27909,3.00106,0.000774492,0.000774492,0.000774492
5,210.372,2.36687,2.9218,2.76011,0.39369,0.51958,0.41569,0.13536,2.29349,3.56166,2.87626,0.00095867,0.00095867,0.00095867
6,251.129,2.24313,2.73471,2.61432,0.40283,0.47315,0.37916,0.15605,2.09144,3.14059,2.52478,0.0009505,0.0009505,0.0009505
7,294.095,2.14512,2.55833,2.53045,0.41094,0.50089,0.35938,0.16242,2.07411,2.45043,2.46511,0.0009406,0.0009406,0.0009406
8,334.95,2.04219,2.45128,2.4219,0.80162,0.40011,0.52529,0.19969,2.08943,2.20584,2.46717,0.0009307,0.0009307,0.0009307
9,376.341,1.99872,2.35733,2.39185,0.4353,0.56585,0.52629,0.23904,1.84834,2.05101,2.27882,0.0009208,0.0009208,0.0009208
10,417.088,1.95614,2.25041,2.33618,0.53794,0.3655,0.41741,0.16848,1.82907,2.27899,2.2965,0.0009109,0.0009109,0.0009109
11,457.685,1.91076,2.2126,2.28684,0.4056,0.47152,0.43266,0.18395,1.91865,2.28501,2.28122,0.000901,0.000901,0.000901
12,500.05,1.86658,2.13222,2.24897,0.78875,0.40472,0.54911,0.22189,1.82383,2.06867,2.27535,0.0008911,0.0008911,0.0008911
13,540.738,1.84389,2.09676,2.22,0.59624,0.58059,0.59564,0.27199,1.85229,1.99709,2.25766,0.0008812,0.0008812,0.0008812
14,581.357,1.831,2.04123,2.20394,0.47347,0.71981,0.65915,0.28831,1.75256,1.69393,2.1813,0.0008713,0.0008713,0.0008713
15,622.869,1.78436,1.98577,2.18031,0.56461,0.58346,0.64906,0.28959,1.69244,1.79798,2.08568,0.0008614,0.0008614,0.0008614
16,664.675,1.76113,1.95535,2.14456,0.5008,0.57262,0.56965,0.29257,1.6827,1.75965,2.03696,0.0008515,0.0008515,0.0008515
17,705.955,1.7306,1.8977,2.12564,0.52253,0.72127,0.66137,0.32027,1.66118,1.69661,2.06308,0.0008416,0.0008416,0.0008416
18,749.636,1.72566,1.89772,2.11188,0.56731,0.71156,0.70542,0.36947,1.71321,1.707,2.06944,0.0008317,0.0008317,0.0008317
19,790.811,1.71086,1.86054,2.091,0.55006,0.59524,0.5867,0.31639,1.68198,1.63767,2.07652,0.0008218,0.0008218,0.0008218
20,831.625,1.68969,1.83154,2.07474,0.49645,0.70585,0.6573,0.35297,1.61837,1.641,2.02766,0.0008119,0.0008119,0.0008119
21,873.526,1.66864,1.80637,2.06067,0.63152,0.61414,0.68639,0.37724,1.58097,1.57135,1.98162,0.000802,0.000802,0.000802
22,914.885,1.65618,1.78142,2.04766,0.46926,0.69898,0.71495,0.38309,1.56168,1.48312,1.94084,0.0007921,0.0007921,0.0007921
23,956.96,1.64962,1.74745,2.03639,0.76577,0.54663,0.64577,0.36003,1.59527,1.64679,1.97584,0.0007822,0.0007822,0.0007822
24,997.813,1.63923,1.73173,2.00818,0.71376,0.65192,0.70731,0.36374,1.57263,1.45196,1.97552,0.0007723,0.0007723,0.0007723
25,1039.39,1.63041,1.7114,2.01469,0.71578,0.68585,0.70237,0.40667,1.47855,1.43966,1.88976,0.0007624,0.0007624,0.0007624
26,1081.65,1.61554,1.71463,1.99032,0.51708,0.71674,0.64695,0.36481,1.56696,1.52558,1.92658,0.0007525,0.0007525,0.0007525
27,1123.58,1.58956,1.67233,1.97481,0.66124,0.74228,0.74198,0.39635,1.56478,1.43494,1.96206,0.0007426,0.0007426,0.0007426
28,1164.63,1.58596,1.67071,1.9864,0.60104,0.75539,0.73497,0.39076,1.59177,1.37073,1.92839,0.0007327,0.0007327,0.0007327
29,1205.57,1.5679,1.64493,1.95389,0.60458,0.7246,0.74078,0.41826,1.49253,1.38467,1.87314,0.0007228,0.0007228,0.0007228
30,1246.42,1.56591,1.63147,1.95865,0.64346,0.73806,0.70936,0.41562,1.45374,1.36326,1.84964,0.0007129,0.0007129,0.0007129
