epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.549,3.25526,4.27297,3.42382,0.00042,0.21296,0.01556,0.00219,3.51504,4.2605,3.52428,0.0803784,0.000198198,0.000198198
2,86.9478,3.0482,4.13105,3.14497,0.85188,0.04167,0.03229,0.01472,2.87387,4.11337,3.03118,0.0605783,0.000398101,0.000398101
3,129.697,2.93023,3.91816,2.97499,0.51986,0.01961,0.00448,0.00072,3.23947,13.8796,3.31955,0.0407778,0.000597614,0.000597614
4,172.303,2.80217,3.63757,2.91193,0.41823,0.19713,0.12131,0.04627,2.69039,3.20621,2.9105,0.0209766,0.000796445,0.000796445
5,214.748,2.69801,3.42967,2.83259,0.45403,0.30021,0.19171,0.05187,2.54961,3.40856,2.85818,0.00117448,0.000994302,0.000994302
6,258.716,2.5817,3.18489,2.74117,0.72778,0.03922,0.0973,0.03404,2.64542,3.51406,2.88475,0.000993906,0.000993906,0.000993906
7,300.203,2.4741,2.94557,2.65073,0.49985,0.23267,0.27723,0.0817,2.30732,2.92013,2.66022,0.000991232,0.000991232,0.000991232
8,341.775,2.35039,2.80466,2.56238,0.3477,0.26939,0.25288,0.06446,2.88366,2.86053,3.09703,0.000988079,0.000988079,0.000988079
9,383.762,2.31228,2.70499,2.51545,0.85717,0.2657,0.44707,0.17543,2.00784,2.44961,2.41353,0.000984449,0.000984449,0.000984449
10,425.828,2.23648,2.56811,2.44668,0.53371,0.40441,0.38971,0.13806,2.10214,2.77281,2.41506,0.000980345,0.000980345,0.000980345
11,469.995,2.18547,2.50164,2.40109,0.56272,0.36907,0.35139,0.12648,2.12596,2.80918,2.47045,0.000975773,0.000975773,0.000975773
12,513.009,2.1306,2.43013,2.35393,0.44581,0.40495,0.43756,0.15763,2.15307,2.33254,2.39316,0.000970736,0.000970736,0.000970736
13,556.954,2.08667,2.34763,2.30065,0.29746,0.4864,0.35725,0.15582,2.09775,2.28958,2.34729,0.000965239,0.000965239,0.000965239
